distance,physical_error_rate,num_shots,num_correct
1,0.01,10000,7548
2,0.01,10000,8712
1,0.015,10000,6791
2,0.015,10000,7992
1,0.02,10000,6278
2,0.02,10000,7360
1,0.025,10000,5940
2,0.025,10000,6654
1,0.03,10000,5587
2,0.03,10000,6206
1,0.035,10000,5422
2,0.035,10000,5830
1,0.04,10000,5294
2,0.04,10000,5525
1,0.045,10000,5200
2,0.045,10000,5330
1,0.05,10000,5270
2,0.05,10000,5163
